Timp,Real,ARIMA_Predicted,SARIMA_Predicted
2025-04-01 15:00:00,53,79.8459113930173,542.2772316279614
2025-04-01 16:00:00,53,79.24935353700981,49.0668048792912
2025-04-01 17:00:00,56,80.50203827569835,1010.3177542687606
2025-04-01 18:00:00,1538,80.16298918273937,50.82948810283858
2025-04-01 19:00:00,50,80.51393517397908,34.06140440868084
2025-04-01 20:00:00,44,80.18982099424686,45.21971953376476
2025-04-01 21:00:00,35,80.51400639092762,33.57502763127731
2025-04-01 22:00:00,30,80.19067261642041,30.574304502952614
2025-04-01 23:00:00,29,80.51393841667496,30.711652581796216
2025-04-02 00:00:00,29,80.19076142345016,29.305830668648674
2025-04-02 01:00:00,29,80.51387249723331,30.44462288145041
2025-04-02 02:00:00,28,80.1908277589238,29.753246919553757
2025-04-02 03:00:00,31,80.51380684423506,30.800093233774646
2025-04-02 04:00:00,30,80.19089340583959,29.653581046165613
2025-04-02 05:00:00,28,80.51374123027075,29.853462583300697
2025-04-02 06:00:00,31,80.19095900652768,30.882448838435824
2025-04-02 07:00:00,41,80.51367564348843,41.89008819333764
2025-04-02 08:00:00,50,80.19102457998032,51.883149863072134
2025-04-02 09:00:00,53,80.51361008337676,51.564564338324075
2025-04-02 10:00:00,52,80.19109012677049,54.040289365219664
2025-04-02 11:00:00,56,80.51354454990569,52.91775440631211
2025-04-02 12:00:00,46,80.19115564692568,57.24135247642456
2025-04-02 13:00:00,53,80.51347904306368,52.610192234922295
2025-04-02 14:00:00,53,80.19122114045722,50.36211745070546
2025-04-02 15:00:00,693,80.5134135628399,604.6348981358087
2025-04-02 16:00:00,52,80.19128660737594,50.498668004551945
2025-04-02 17:00:00,51,80.51334810922354,1129.5876724051911
2025-04-02 18:00:00,288,80.19135204769266,51.22964149346602
2025-04-02 19:00:00,1270,80.51328268220377,44.990742945904344
2025-04-02 20:00:00,46,80.19141746141818,46.50633466698997
2025-04-02 21:00:00,32,80.51321728176978,34.66263610023876
2025-04-02 22:00:00,29,80.19148284856331,31.101431174137765
2025-04-02 23:00:00,30,80.5131519079108,31.16184536646809
2025-04-03 00:00:00,28,80.19154820913886,29.984081921279067
2025-04-03 01:00:00,29,80.51308656061599,31.044843539090152
2025-04-03 02:00:00,29,80.19161354315561,30.180043920518916
2025-04-03 03:00:00,30,80.51302123987459,31.20056183824125
2025-04-03 04:00:00,28,80.19167885062437,30.136372301327917
2025-04-03 05:00:00,29,80.5129559456758,30.223946814316285
2025-04-03 06:00:00,30,80.19174413155591,31.236647118088186
2025-04-03 07:00:00,40,80.51289067800882,41.67812237212278
2025-04-03 08:00:00,49,80.19180938596102,51.675082481431296
2025-04-03 09:00:00,53,80.51282543686288,50.973629371723845
2025-04-03 10:00:00,52,80.19187461385049,53.74392969190483
2025-04-03 11:00:00,54,80.5127602222272,53.25211541135829
2025-04-03 12:00:00,56,80.19193981523507,57.393892870371104
2025-04-03 13:00:00,50,80.51269503409101,51.43174849127374
2025-04-03 14:00:00,53,80.19200499012554,49.8849316690531
2025-04-03 15:00:00,272,80.51262987244354,570.4479082832453
2025-04-03 16:00:00,51,80.19207013853269,50.54416584746352
2025-04-03 17:00:00,2019,80.51256473727403,1063.4232962001624
2025-04-03 18:00:00,52,80.19213526046724,51.85482788923822
2025-04-03 19:00:00,50,80.51249962857173,39.69987766959712
2025-04-03 20:00:00,44,80.19220035593999,46.633443253178356
2025-04-03 21:00:00,33,80.51243454632588,34.90156090890559
2025-04-03 22:00:00,30,80.19226542496166,31.655274870709043
2025-04-03 23:00:00,29,80.51236949052571,31.758916040398745
2025-04-04 00:00:00,29,80.192330467543,30.453012984982298
2025-04-04 01:00:00,28,80.5123044611605,31.55761778966304
2025-04-04 02:00:00,29,80.19239548369478,30.79026002435614
2025-04-04 03:00:00,30,80.5122394582195,31.825571124263025
2025-04-04 04:00:00,30,80.19246047342772,30.715126815634935
2025-04-04 05:00:00,28,80.51217448169196,30.865803472686565
2025-04-04 06:00:00,32,80.19252543675255,31.887654392432296
2025-04-04 07:00:00,39,80.51210953156715,42.6472412599462
2025-04-04 08:00:00,49,80.19259037368,52.64201094619355
2025-04-04 09:00:00,49,80.51204460783435,52.155680316017744
2025-04-04 10:00:00,55,80.19265528422082,54.760467100998206
2025-04-04 11:00:00,54,80.51197971048285,53.9142686898774
2025-04-04 12:00:00,57,80.1927201683857,58.1582060136222
2025-04-04 13:00:00,53,80.5119148395019,52.94390401958104
2025-04-04 14:00:00,52,80.19278502618539,51.003070159872294
2025-04-04 15:00:00,49,80.5118499948808,590.5066333401209
2025-04-04 16:00:00,48,80.19284985763058,51.368623176064034
2025-04-04 17:00:00,47,80.51178517660884,1101.4492112499263
2025-04-04 18:00:00,48,80.19291466273198,52.35357459686573
2025-04-04 19:00:00,46,80.51172038467531,43.52268667638742
2025-04-04 20:00:00,43,80.19297944150031,47.41204581073031
2025-04-04 21:00:00,32,80.51165561906951,35.61733708998596
2025-04-04 22:00:00,29,80.19304419394626,32.19410702550278
